sp;type;y'(seq.);y(ind.);indTot;t (days);radioT(m);angT(rad);tr;tr_se;act;act_se;s(km/day);s_se(km/day);r(m);r_se(m);ang(rad);ang_se(rad);d(ind/km2);d_se(ind/km2);effort;distr
marfoi;laxrand3;97;97;102;3192;9.788759879;0.39269925;0.030388471;0.012224369;0.324290135;0.032965818;16.62942624;2.194964137;7.245118355;0.351578413;0.694556006;0.090934429;0.294068672;0.118180445;0.98;patched
marfoi;laxrand4;147;147;155;5822;12.10957051;0.39269925;0.025249055;0.00707699;0.337279332;0.030356511;15.62061109;2.249531936;7.488263321;0.307342493;0.679530306;0.070745521;0.253079638;0.076503542;1.75;patched
marfoi;laxsist3;56;56;60;3209;16.41485873;0.39269925;0.017450919;0.003081385;0.306570932;0.052507916;10.44810915;3.173026557;7.81127095;0.618966392;0.602433211;0.105227372;0.258124475;0.094313447;0.98;patched
marfoi;laxsist4;176;176;185;5738;13.67456066;0.39269925;0.030672708;0.00770908;0.348374525;0.032036797;17.27291477;2.39346287;7.667242144;0.257448168;0.60619677;0.051464863;0.279183653;0.076169503;1.75;patched
melmel;clust3x1_1;31;31;34;3279;33.05577498;0.39269925;0.009454102;0.003024076;0.187107356;0.064986513;6.900194872;2.37910515;9.517940155;1.425419683;0.728872921;0.210135702;0.165722895;0.083617658;0.98;patched
melmel;clust3x1_3;37;37;40;3322;18.28902139;0.39269925;0.011137869;0.002467125;0.264156316;0.072998947;7.385780781;1.989856068;9.51899835;1.079166991;0.613784806;0.148249004;0.19041207;0.071480466;0.98;patched
melmel;clust4;56;56;60;5983;17.82769001;0.39269925;0.009359853;0.001939629;0.281065772;0.059409217;11.19826238;3.11940055;8.58108028;0.824913941;0.689789239;0.146269642;0.113764835;0.042792025;1.75;patched
melmel;clust5;80;80;88;9032;17.82769001;0.39269925;0.008857396;0.001506602;0.22611689;0.047944465;8.399946394;1.872065149;7.897779846;0.586434385;0.681089558;0.119224745;0.156445499;0.046967274;2.53;patched
melmel;clustrand3;31;31;32;3327;14.73317462;0.39269925;0.009317704;0.002288042;0.270479701;0.070423092;7.960739628;2.114232405;7.927385288;1.104688905;0.616816307;0.186650538;0.177256489;0.071736756;0.98;patched
melmel;clustrand4;56;56;60;5968;14.26798466;0.39269925;0.009383378;0.001766039;0.25688666;0.058575752;8.459007592;2.07444;7.728898668;0.743291511;0.714539431;0.14949024;0.166102398;0.056078467;1.75;patched
melmel;lax;94;95;103;7655;15.17584742;0.39269925;0.012410189;0.002703107;0.263771173;0.045865166;10.10302175;1.83108986;8.180412328;1.823444776;0.720986644;0.094351094;0.173370575;0.061744746;2.53;patched
melmel;laxrand3;39;39;41;3192;15.32012895;0.39269925;0.012218045;0.005135994;0.380910391;0.058657169;13.72637045;3.428297049;7.117225946;0.515739646;0.785398272;0.045604502;0.141058034;0.062586028;0.98;patched
melmel;laxrand4;76;77;82;5822;16.36637788;0.39269925;0.013225696;0.003346818;0.264291875;0.051587355;10.89071469;2.34228383;7.829928122;0.474771079;0.763136754;0.114570933;0.176340416;0.060100107;1.75;patched
